Object Name,Text - Description,,,,,,,,,,,,,,,,,,,,
/ACCGO/ACC,Accrual Work Center,,,,,,,,,,,,,,,,,,,,
/ACCGO/ACR,Application Rules - Condition Records,,,,,,,,,,,,,,,,,,,,
/ACCGO/AD,Application Document,,,,,,,,,,,,,,,,,,,,
/ACCGO/ADM,Admin Auth,,,,,,,,,,,,,,,,,,,,
/ACCGO/APL,Application,,,,,,,,,,,,,,,,,,,,
/ACCGO/APQ,Authorization object to re-execute application queue,,,,,,,,,,,,,,,,,,,,
/ACCGO/APS,Application Archiving,,,,,,,,,,,,,,,,,,,,
/ACCGO/AS,Audit Seqence pool,,,,,,,,,,,,,,,,,,,,
/ACCGO/ASG,Value Schedule Assignment to TSW Location,,,,,,,,,,,,,,,,,,,,
/ACCGO/ASQ,Application Rules - Access Sequence Data,,,,,,,,,,,,,,,,,,,,
/ACCGO/BBB,Authorization Object for Beginning Book Balance,,,,,,,,,,,,,,,,,,,,
/ACCGO/BPA,ACM Business Partner Authorization,,,,,,,,,,,,,,,,,,,,
/ACCGO/BRT,Brazil True-Up,,,,,,,,,,,,,,,,,,,,
/ACCGO/BSC,Authorization object for Batch Split Correction Report,,,,,,,,,,,,,,,,,,,,
/ACCGO/CAP,Contract Approval Authorization,,,,,,,,,,,,,,,,,,,,
/ACCGO/CCL,Authorization Object for Contract Closure and Reopen,,,,,,,,,,,,,,,,,,,,
/ACCGO/CDS,ACM CDS Data Display,,,,,,,,,,,,,,,,,,,,
/ACCGO/CLM,BRF Credit Limit,,,,,,,,,,,,,,,,,,,,
/ACCGO/CMG,Commingled Stocks,,,,,,,,,,,,,,,,,,,,
/ACCGO/COM,Update Commodity Report Authorization Object,,,,,,,,,,,,,,,,,,,,
/ACCGO/COP,Contract Output Processing,,,,,,,,,,,,,,,,,,,,
/ACCGO/CPE,Commodity Pricing Engine Integration,,,,,,,,,,,,,,,,,,,,
/ACCGO/CRD,Credit Limit,,,,,,,,,,,,,,,,,,,,
/ACCGO/CSN,Authorization Objects for Cushion Master Data,,,,,,,,,,,,,,,,,,,,
/ACCGO/CSR,Authorization object for scrap process,,,,,,,,,,,,,,,,,,,,
/ACCGO/DDA,DGR DPQS Assignment,,,,,,,,,,,,,,,,,,,,
/ACCGO/DFW,Doc flow authorization,,,,,,,,,,,,,,,,,,,,
/ACCGO/DGP,DGR processing,,,,,,,,,,,,,,,,,,,,
/ACCGO/DGR,DGR Master,,,,,,,,,,,,,,,,,,,,
/ACCGO/DIS,Online Pricing Distributions,,,,,,,,,,,,,,,,,,,,
/ACCGO/DR,DGR Reports,,,,,,,,,,,,,,,,,,,,
/ACCGO/DSB,Authorization Object For Disabling Button On Fiori App,,,,,,,,,,,,,,,,,,,,
/ACCGO/FEE,Fee Master,,,,,,,,,,,,,,,,,,,,
/ACCGO/GDC,Global Derived Characteristics,,,,,,,,,,,,,,,,,,,,
/ACCGO/GMR,Release goods movement parked messages,,,,,,,,,,,,,,,,,,,,
/ACCGO/INV,Inventory Monitor,,,,,,,,,,,,,,,,,,,,
/ACCGO/IR,Invoice Router,,,,,,,,,,,,,,,,,,,,
/ACCGO/LIN,Lien,,,,,,,,,,,,,,,,,,,,
/ACCGO/MDI,Auth Object for Master data,,,,,,,,,,,,,,,,,,,,
/ACCGO/MG,Material Grouping,,,,,,,,,,,,,,,,,,,,
/ACCGO/NEG,Manual Application Workcenter - Node Key,,,,,,,,,,,,,,,,,,,,
/ACCGO/NET,Authorization Object for Net Dry Activities.,,,,,,,,,,,,,,,,,,,,
/ACCGO/NEY,Manual Application Workcenter - Common Fields,,,,,,,,,,,,,,,,,,,,
/ACCGO/NSO,Non-Standard Settlement Overview,,,,,,,,,,,,,,,,,,,,
/ACCGO/NSS,Non-Standard Settlement,,,,,,,,,,,,,,,,,,,,
/ACCGO/OE,Orchestration Framework and Back-to-Back,,,,,,,,,,,,,,,,,,,,
/ACCGO/ORG,Authorization Object for Access to Organizational Data,,,,,,,,,,,,,,,,,,,,
/ACCGO/OVF,Manual Overfill,,,,,,,,,,,,,,,,,,,,
/ACCGO/P2S,Purchase to Storage,,,,,,,,,,,,,,,,,,,,
/ACCGO/PDP,Authorization object for plant DPQS,,,,,,,,,,,,,,,,,,,,
/ACCGO/PM,Authorization Objects for External Verification,,,,,,,,,,,,,,,,,,,,
/ACCGO/PP,Authorization Object for Price Protection,,,,,,,,,,,,,,,,,,,,
/ACCGO/RCL,Math Opreations on RAW data types,,,,,,,,,,,,,,,,,,,,
/ACCGO/RCP,Reconciliation report execution authorization,,,,,,,,,,,,,,,,,,,,
/ACCGO/REC,Reconciliation Authorization Object,,,,,,,,,,,,,,,,,,,,
/ACCGO/RRP,Revenue Recognition and Purchase Realization,,,,,,,,,,,,,,,,,,,,
/ACCGO/SAQ,Contract Settlement,,,,,,,,,,,,,,,,,,,,
/ACCGO/SC,String/Circle Authorization for Standard Settlement,,,,,,,,,,,,,,,,,,,,
/ACCGO/SCR,Authorization Object for Stock Clearing Report,,,,,,,,,,,,,,,,,,,,
/ACCGO/SI,Separate Invoice Work Center,,,,,,,,,,,,,,,,,,,,
/ACCGO/SPM,Contract Application Spot Monitor,,,,,,,,,,,,,,,,,,,,
/ACCGO/SPT,Spot Contract,,,,,,,,,,,,,,,,,,,,
/ACCGO/STL,Contract Settlement,,,,,,,,,,,,,,,,,,,,
/ACCGO/STO,Storage agreement settlement authorization object,,,,,,,,,,,,,,,,,,,,
/ACCGO/TOL,Tolerance Schedule,,,,,,,,,,,,,,,,,,,,
/ACCGO/TRU,True-Up Report,,,,,,,,,,,,,,,,,,,,
/ACCGO/UI,Common UI Node Access,,,,,,,,,,,,,,,,,,,,
/ACCGO/UIC,Set Up Load Data Capture,,,,,,,,,,,,,,,,,,,,
/ACCGO/UIS,Load Data Capture,,,,,,,,,,,,,,,,,,,,
/ACCGO/UTL,ACM: Utiliity Programs Authorization,,,,,,,,,,,,,,,,,,,,
/ACCGO/VAL,Value Schedule,,,,,,,,,,,,,,,,,,,,
/ACCGO/VOL,Volume Schedule,,,,,,,,,,,,,,,,,,,,
/ACCGO/WHR,Authorization object for 'Warehouse Receipt',,,,,,,,,,,,,,,,,,,,
/AIF/CDLOG,AIF Error Handling Change Log,,,,,,,,,,,,,,,,,,,,
