ROLE1,ROLE2,OBJ_COUNT,FIELD_COUNT,VALUE_COUNT
ZSG_AL_LO.PRO_YUSEN_812,ZSG_AL_LO.PRO_YUSEN_XXX,0,0,15
ZSG_AL_LO.PRO_YUSEN_813,ZSG_AL_LO.PRO_YUSEN_XXX,1,0,15
ZSG_AL_LO.PRO_YUSEN_815,ZSG_AL_LO.PRO_YUSEN_XXX,0,0,15
ZSG_AL_LO.PRO_YUSEN_833,ZSG_AL_LO.PRO_YUSEN_XXX,0,0,13
ZSG_AL_LO.PRO_YUSEN_835,ZSG_AL_LO.PRO_YUSEN_XXX,0,0,15
ZSG_AL_LO.PRO_YUSEN_872,ZSG_AL_LO.PRO_YUSEN_XXX,0,0,15
ZSG_AL_LO.PRO_YUSEN_873,ZSG_AL_LO.PRO_YUSEN_XXX,0,0,17
ZSG_BS_UT.DSP_104,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_615,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_812,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_813,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_815,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_833,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_835,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_836,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_837,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_838,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_851,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_861,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_872,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_BS_UT.DSP_911,ZSG_BS_UT.DSP_XXX,0,0,3
ZSG_CO_PA.SDSP_811,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_812,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_813,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_815,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_816,ZSG_CO_PA.SDSP_XXX,0,0,7
ZSG_CO_PA.SDSP_833,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_835,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_836,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_837,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_838,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_851,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_861,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_872,ZSG_CO_PA.SDSP_XXX,0,0,0
ZSG_CO_PA.SDSP_911,ZSG_CO_PA.SDSP_XXX,0,0,4
