ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_BS_OU.PRO,ZSG_BS_OU.PRO,ZSG_BS_OU.PRO
ZSG_BS_UT.DSP_209,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_813
ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_XXX
ZSG_FI_AR.CUSADM_CONTACTPERSON,ZSG_FI_AR.CUSADM_CONTACTPERSON,ZSG_FI_AR.CUSADM_CONTACTPERSON
ZSG_MM_IM.DSP_209,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_813
ZSG_MM_LO.PRO-TRS_209,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_813
ZSG_MM_MAT.DSP_XXX,ZSG_MM_MAT.DSP_XXX,ZSG_MM_MAT.DSP_XXX
ZSG_MM_MM.GPSI_209,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_813
ZSG_MM_MM.PRO_209,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_813
ZSG_MM_PO.DSP_209,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_813
ZSG_MM_PO.GRI_209,ZSG_MM_PO.GRI_XXX,ZSG_MM_PO.GRI_813
ZSG_MM_PO.PRO_209,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_813
ZSG_MM_PO.PRT_209,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_813
ZSG_MM_PR.DSP_208,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_812
ZSG_MM_PR.DSP_209,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_813
ZSG_MM_PR.DSP_210,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_815
ZSG_MM_PR.PRO_209,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_813
ZSG_SD_BL.DSP_209,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_813
ZSG_SD_BL.PRO_209,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_813
ZSG_SD_BL.REQCNC_209,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_813
ZSG_SD_CMIR.ADM_209,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_813
ZSG_SD_CMIR.DSP_209,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_813
ZSG_SD_COND.DSP_209,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_813
ZSG_SD_DO.DSP_XXX,ZSG_SD_DO.DSP_XXX,ZSG_SD_DO.DSP_XXX
ZSG_SD_DO.PRO_209,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_813
ZSG_SD_QT.PRO_209,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_813
ZSG_SD_SO.DSP_209,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_813
ZSG_SD_SO.PRO_209,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_813
ZSG_BS_UT.DSP_203,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_861
ZSG_MM_IM.DSP_203,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_861
ZSG_MM_LO.PRO-GI_203,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_861
ZSG_MM_LO.PRO-GR_203,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_861
ZSG_MM_PO.INTF_203,ZSG_MM_PO.INTF_203,ZSG_MM_PO.INTF_861
ZSG_BS_UT.DSP_218,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_833
ZSG_BS_UT.DSP_219,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_835
ZSG_BS_UT.DSP_220,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_833
ZSG_BS_UT.DSP_221,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_833
ZSG_BS_UT.DSP_222,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_836
ZSG_BS_UT.DSP_223,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_833
ZSG_BS_UT.DSP_224,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_837
ZSG_BS_UT.DSP_225,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_838
ZSG_CS_EM.DSP_221,ZSG_CS_EM.DSP_XXX,ZSG_CS_EM.DSP_833
ZSG_CS_EM.DSP_222,ZSG_CS_EM.DSP_XXX,ZSG_CS_EM.DSP_836
ZSG_CS_EM.DSP_224,ZSG_CS_EM.DSP_XXX,ZSG_CS_EM.DSP_837
ZSG_CS_EM.DSP_225,ZSG_CS_EM.DSP_XXX,ZSG_CS_EM.DSP_838
ZSG_CS_NO.DSP_222,ZSG_CS_NO.DSP_XXX,ZSG_CS_NO.DSP_836
ZSG_CS_NO.DSP_224,ZSG_CS_NO.DSP_XXX,ZSG_CS_NO.DSP_837
ZSG_CS_NO.DSP_225,ZSG_CS_NO.DSP_XXX,ZSG_CS_NO.DSP_838
ZSG_MM_IM.DSP_218,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_833
ZSG_MM_IM.DSP_219,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_835
ZSG_MM_IM.DSP_220,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_833
ZSG_MM_IM.DSP_221,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_833
ZSG_MM_IM.DSP_222,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_836
ZSG_MM_IM.DSP_223,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_833
ZSG_MM_IM.DSP_224,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_837
ZSG_MM_IM.DSP_225,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_838
ZSG_MM_LA.PRO_219,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_835
ZSG_MM_LA.PRO_220,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_833
