User Name,Role,Short Role Description,Authorization Object,Field name,From Value,To Value
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,F_LFA1_BEK,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,F_LFA1_BEK,ACTVT,08,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,F_LFA1_BEK,BRGRU,18*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,F_LFA1_BUK,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,F_LFA1_BUK,BUKRS,1800,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,AUTHC,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,INFTY,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,PERSA,Z018,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,PERSG,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,PERSK,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,SUBTY,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,P_ORGIN,VDSK1,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,RBD_EDIT,/IBS/ORGEI,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,RBD_EDIT,/IBS/RBDID,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,RBD_EDIT,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADDRESS1,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADDRESS1,ADGRP,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADDRESS2,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADDRESS2,ADGRP_P,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADDRESS3,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADDRESS3,ADGRP_P,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADMI_FCD,S_ADMI_FCD,SP01,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADMI_FCD,S_ADMI_FCD,SP0R,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ADMI_FCD,S_ADMI_FCD,ST0R,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_APPL_LOG,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_APPL_LOG,ALG_OBJECT,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_APPL_LOG,ALG_SUBOBJ,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ARCHIVE,ACTVT,03,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ARCHIVE,APPLIC,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_ARCHIVE,ARCH_OBJ,*,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_BDC_MONI,BDCAKTI,ABTC,
WSLEE,ZSG_BS_OU.PRO,MEAP: Non-critical Basis Authorizations for MEAP Users,S_BDC_MONI,BDCAKTI,ANAL,
