Client,ROLE,MASTER_ROLE,DESC
800,ZSG_AL_AP.DSP,,MEAP Across Module Reports for AP
800,ZSG_AL_AP.DSP_XXX,,MEAP Across Module Reports for AP
800,ZSG_AL_AR.DSP,,MEAP Across Module Reports for AR
800,ZSG_AL_AR.DSP_XXX,,MEAP Across Module Reports for AR
800,ZSG_AL_LO.PRO_YUSEN,,"MEAP Yusen Logistics GR,GI role"
800,ZSG_AL_LO.PRO_YUSEN_812,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-812"
800,ZSG_AL_LO.PRO_YUSEN_813,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-813"
800,ZSG_AL_LO.PRO_YUSEN_815,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-815"
800,ZSG_AL_LO.PRO_YUSEN_833,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-833"
800,ZSG_AL_LO.PRO_YUSEN_835,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-835"
800,ZSG_AL_LO.PRO_YUSEN_872,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-872"
800,ZSG_AL_LO.PRO_YUSEN_873,ZSG_AL_LO.PRO_YUSEN_XXX,"MEAP Yusen Logistics GR,GI roles-872"
800,ZSG_AL_LO.PRO_YUSEN_SU53,,ZSG_AL_LO.PRO_YUSEN_SU53
800,ZSG_AL_LO.PRO_YUSEN_XXX,,"MEAP Yusen Logistics GR,GI roles-812,813,815,872,873,833,835"
800,ZSG_AL_SM.DSP_NCS,,NCS system support view
800,ZSG_BP_WF.REQ_115,,BP Requestor for Cost Center 115
800,ZSG_BP_WF.REQ_116,,BP Requestor for Cost Center 116
800,ZSG_BP_WF.REQ_715,,requestor cc 715
800,ZSG_BP_WF.REQ_716,,role for cost centre 716
800,ZSG_BP_WF.REQ_717,,role for cost centre 717
800,ZSG_BP_WF_APPR_715,,role for cost centre 715
800,ZSG_BP_WF_APPR_716,,cost centre 716
800,ZSG_BP_WF_APPR_717,,cost centre 717
800,ZSG_BS_OU.PRO,,MEAP: Non-critical Basis Authorizations for MEAP Users
800,ZSG_BS_SEC.DSP,,MEAP Authorization Role Display
800,ZSG_BS_UT.DSP_104,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (A&F/1899)
800,ZSG_BS_UT.DSP_615,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (AMAF/1890)
800,ZSG_BS_UT.DSP_812,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (LEAC/1801)
800,ZSG_BS_UT.DSP_813,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (LERM/1802)
800,ZSG_BS_UT.DSP_815,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (LEHE/1801)
800,ZSG_BS_UT.DSP_833,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (FAIS/1806)
800,ZSG_BS_UT.DSP_835,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (FASS/1806)
800,ZSG_BS_UT.DSP_836,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (FNSV/1805)
800,ZSG_BS_UT.DSP_837,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (FMSV/1809)
800,ZSG_BS_UT.DSP_838,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (FASV/1813)
800,ZSG_BS_UT.DSP_851,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (APCR/1810)
800,ZSG_BS_UT.DSP_861,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (SCPW/1808)
800,ZSG_BS_UT.DSP_872,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (PUPS/1802)
800,ZSG_BS_UT.DSP_911,ZSG_BS_UT.DSP_XXX,MEAP Directory File Download (ACDC/1813)
800,ZSG_BS_UT.DSP_XXX,,MEAP File Download
800,ZSG_CO_OM.IOADM_XXX,,MEAP: Controlling - Internal Order Admin
800,ZSG_CO_OM.IORPT_XXX,,MEAP: Controlling - Internal Order Reports
800,ZSG_CO_OM.IOR_TEMP,,
800,ZSG_CO_OM_PLAN.PRO,,MEAP Controlling Planning Cost Center/Activity Type
800,ZSG_CO_PA.SDSP_811,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(LEPO)
800,ZSG_CO_PA.SDSP_812,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(LEAC/1801)
800,ZSG_CO_PA.SDSP_813,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(LERM/1802)
800,ZSG_CO_PA.SDSP_815,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(LEHE/1801)
800,ZSG_CO_PA.SDSP_816,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(LESV)
800,ZSG_CO_PA.SDSP_833,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(FAIS/1806)
800,ZSG_CO_PA.SDSP_835,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(FASS/1806)
800,ZSG_CO_PA.SDSP_836,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(FNSV/1805)
800,ZSG_CO_PA.SDSP_837,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(FMSV/1809)
800,ZSG_CO_PA.SDSP_838,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(FASV/1824)
800,ZSG_CO_PA.SDSP_851,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(APCR/1810)
800,ZSG_CO_PA.SDSP_861,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(SCPW/1808)
800,ZSG_CO_PA.SDSP_872,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display and Report(PUPS/1802)
800,ZSG_CO_PA.SDSP_911,ZSG_CO_PA.SDSP_XXX,MEAP Controlling Profitability Analysis COPA Display & Report (ACDC/1813)
800,ZSG_CO_PA.SDSP_XXX,,MEAP Controlling Profitability Analysis COPA Display and Report
800,ZSG_CS_EM.ADM_836,ZSG_CS_EM.ADM_XXX,Service Master data Maintainance (FNSV/836)
800,ZSG_CS_EM.ADM_837,ZSG_CS_EM.ADM_XXX,Service Master data Maintainance (MECH/837)
800,ZSG_CS_EM.ADM_838,ZSG_CS_EM.ADM_XXX,Service Master data Maintainance for (FASV/838)
800,ZSG_CS_EM.ADM_XXX,,Service Master data Maintainance All
800,ZSG_CS_EM.DSP_511,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
800,ZSG_CS_EM.DSP_512,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
800,ZSG_CS_EM.DSP_513,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
800,ZSG_CS_EM.DSP_515,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
800,ZSG_CS_EM.DSP_516,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
800,ZSG_CS_EM.DSP_517,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
800,ZSG_CS_EM.DSP_518,ZSG_CS_EM.DSP_XXX,Service master data display (ACO/1889)
