AGR_NAME,OBJECT,AUTH_DESC,FIELD,LOW,HIGH,Remarks
ZSG_AL_LO.PRO_YUSEN_873,C_DRAW_TCD,Authorization for document activities,DOKAR,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,C_DRAW_TCS,Status-Dependent Authorizations for Documents,DOKAR,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,C_DRAW_TCS,Status-Dependent Authorizations for Documents,DOKST,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_BKPF_BED,Accounting Document: Account Authorization for Customers,BRGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_BKPF_BEK,Accounting Document: Account Authorization for Vendors,BRGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_BKPF_BLA,Accounting Document: Authorization for Document Types,BRGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_KNA1_BED,Customer: Account Authorization,BRGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_KNA1_GRP,Customer: Account Group Authorization,KTOKD,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_LFA1_BEK,Vendor: Account Authorization,BRGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,F_LFA1_GRP,Vendor: Account Group Authorization,KTOKK,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_BEST_BSA,Document Type in Purchase Order,BSART,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_INVVAL,Inventory Values Display,DISPINVVAL,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MATE_MAR,Material Master: Material Types,BEGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MATE_MAT,Material Master: Materials,BEGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MATE_WGR,Material Master: Material Groups,BEGRU,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MRES_BWA,Reservations: Movement Type,BWART,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MSEG_BMB,Material Documents: Movement Type,BWART,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MSEG_BWA,Goods Movements: Movement Type,BWART,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MSEG_BWE,Goods Receipt for Purchase Order: Movement Type,BWART,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_MSEG_BWF,Goods Receipt for Production Order: Movement Type,BWART,,,Copy from 872
ZSG_AL_LO.PRO_YUSEN_873,M_RAHM_BSA,Document Type in Outline Agreement,BSART,,,Copy from 872
